Model,CV_Accuracy_Mean,CV_Accuracy_Std,CV_Precision_Mean,CV_Recall_Mean,CV_F1_Mean,Test_Accuracy,Test_Precision,Test_Recall,Test_F1,Training_Time,Prediction_Time
Random_Forest,0.8930604118104117,0.02035940411964878,0.9006366637532152,0.8717502001152256,0.8831002385560304,0.888268156424581,0.8902636972092186,0.888268156424581,0.8858848346927207,0.30663583278656004,0.04960556030273437
Gradient_Boosting,0.9007478632478634,0.018526542901413,0.8983507249610512,0.8871868489882072,0.8914140824756329,0.88268156424581,0.8828039874736486,0.88268156424581,0.8811432379939784,1.7759021520614624,0.02652878761291504
Logistic_Regression,0.9328962703962704,0.02035212088192263,0.9333242122505856,0.9260983241305821,0.9286838022043519,0.9245810055865922,0.9243767363962714,0.9245810055865922,0.9239748295020822,0.03821990489959717,0.015443754196166993
